,SMILES
9090,CCC(C)[C@H](NC(=O)NC1CC[NH+](Cc2ccccc2)CC1)C(=O)OC
6301,CCCN1C(=O)c2ccc(C(=O)Nc3cc(C)on3)cc2C1=O
6309,O=C(COC(=O)Cc1cccc(C(F)(F)F)c1)NCC1CCCO1
1212,CC(C)C[NH+]1CCC2(CCN(C(=O)c3ccncc3)CC2)CC1
183,CCOC(=O)c1c(C)oc(NC(=O)CCl)c1C(=O)OCC
184,COC(=O)c1ccc(NC(C)=O)o1
8933,COC(=O)c1cc(NC(=O)c2cccc(F)c2)cc(C(=O)OC)c1
7947,CC(C)OC(=O)CCNc1nnc(O)nc1O
7950,Cc1ccc(C(=O)[O-])cc1[N+](=O)[O-]
4735,CCOC(=O)c1[nH]c(C)c(C(=O)OCC(=O)N(C)C2CCS(=O)(=O)C2)c1C
2402,CCC1(C)NC(=O)N(/N=C/c2cc(OC)c(O)c(OC)c2)C1=O
4734,CCCSC1=C(C#N)C2(CCCCC2)C(C#N)=C([NH3+])N1
4712,CC(NC(=O)c1ccc2c(c1)OCCO2)C(=O)[O-]
8872,C=CCOc1ccc(C(=O)CC)cc1OC
2435,O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC2(CC1)CC[NH+](Cc1nccs1)CC2
7054,Cn1cccc1C(=O)OCC(=O)NC(=O)NC1CCCCC1
8837,COC(=O)[C@H]1C[C@@H]1[C@H]([NH3+])c1ccccc1
8829,CCC(=O)OC1(C)C(=O)C=C2C=C(CCCC(=O)OC)OC=C2C1=O
8812,Cc1cc(NC(=O)C(C)(C)C)no1
7993,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O
8802,CC(C)c1ccc(/C=N/NC(=O)CC(=O)NC2CCCCC2)cc1
3279,CCc1c(C(=O)NN2C(=O)C3CCCCC3C2=O)csc1C
600,CCOc1ncccc1C(=O)Nc1nnc(C(CC)CC)s1
4649,COc1cccc(C(C2=C([O-])CC(C)(C)CC2=O)[C-]2C(=O)CC(C)(C)CC2=O)c1
6446,CC1(C)CC2(CCO1)OC(=O)CC2C(=O)NCc1ccccc1
6456,CCOC(=O)C1CCCN(C(=O)c2ccc(OC)c([N+](=O)[O-])c2)C1
2549,CCCCCC[NH2+]/C(C)=C1\C(=O)NC(=O)N(Cc2ccccc2)C1=O
2554,COc1cc(C(=O)NNC(=O)C2CC=CCC2C(=O)[O-])cc(OC)c1OC
6468,CC1CN(C(=O)c2nn(C)cc2[N+](=O)[O-])CC(C)O1
1085,COC(=O)N[C@@H](CCc1ccccc1)[C@]1(C(=O)OC)CCCC1=O
8696,C[C@@]([NH3+])(C(=O)[O-])c1ccc(C(=O)[O-])cc1
6304,CCCCOC(=O)c1nc[nH]c1C(=O)OCCCC
3335,COc1ccc(CCNC(=O)C2CCCCC2C(=O)[O-])cc1OC
490,CC[NH+]1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
2341,CC1CCC(C(=O)[O-])[NH2+]C1c1cccc(N2CCOCC2)c1
4978,CCC(OC(=O)c1cccs1)C(=O)NC1CCCCC1
1047,CC(=O)OC1CC2C(C)(C)C(=O)CC[C@]2(C)C2CC[C@@]3(C)C(c4ccoc4)OC(=O)C4OC43[C@]12C
3449,CCOC(=O)c1c(C)[nH]c(C(=O)CN2C(=O)C(=O)N(CC(C)C)C2=O)c1C
2138,O=C(COC(=O)c1ccc(OC(F)F)cc1)NCCCN1CCCC1=O
9147,C=CCOC(=O)N[C@H](c1ccccc1)C(C(C)=O)C(C)=O
9145,CC1=[NH+]C(C(F)(F)F)(C(F)(F)F)C2=C(CC(C)(C)CC2=O)N1Cc1ccco1
951,COC(=O)c1ccccc1O
1246,COC(=O)c1cc(C#N)c(OC(C)C)nc1C
4918,O=C(COC(=O)Cc1cccc(C(F)(F)F)c1)NC1CC1
7187,CC(C)CC(=O)N1CCN(C(=O)c2cccc(F)c2)CC1
6141,CCOC(=O)c1c(NC(=O)C[NH+]2CCOCC2)sc2c1CC(C)(C)OC2
6146,CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
8192,COC(=O)COc1ccc(S(=O)(=O)N2CCCCCC2)cc1
2192,CCCCCCn1ccc(=[NH2+])cc1
2201,CCCC(C)NC(=O)Cc1ccccc1
1238,CCOC(=O)c1cc(CC)sc1NC=C1C(=O)CCCC1=O
4099,COC(=O)CC1C(C)(C)C(OC(C)=O)C2[C@H](OC(C)=O)[C@]34O[C@]2(O)[C@]1(C)C3CC[C@]1(C)C4=CC(=O)OC1c1ccoc1
7179,Cc1ccccc1C(=O)NC=C1C(=O)OC(C)(C)OC1=O
2231,CCOC(=O)N1CCN(C(=O)CCCOc2ccccc2)CC1
7899,COc1ccc(C(=O)[O-])cc1OC
2243,O=C([O-])c1ccc(N2CCCCCC2)c(N2C(=O)c3ccccc3C2=O)c1
4872,O=C([O-])C[C@@H](C(=O)[O-])c1ccccc1[N+](=O)[O-]
6182,COCCNC(=O)C1CC(=O)N(C2CCCCC2)C1
